Name,Reviews,Stars,Address,Cars_Listed,Page_Link,Ph_no_1,Ph_no_2
Cartopia,7,5.0,"13a Whitchurch Lane, Edgware, Borough Of Barnet HA8 6JZ",10,https://www.autotrader.co.uk/dealers/borough-of-barnet/edgware/cartopia-870924,(020) 33842999,
South London Car Sales,25,4.7,"17 -21 Rotherhithe Old Road, Rotherhithe, Southwark SE16 2PP",21,https://www.autotrader.co.uk/dealers/southwark/rotherhithe/south-london-car-sales-850928,(020) 72520530,(07522) 559889
pany,4,5.0,"7 HIGH ROAD, BYFLEET, West Byfleet, Surrey KT14 7QH",4,https://www.autotrader.co.uk/dealers/surrey/west-byfleet/he-auto-company-10017329,(01932) 688796,(07480) 046839
Bam Autos,8,4.6,"147 DOWNHILLS WAY, HARINGEY, Tottenham, Haringey N17 6AH",13,https://www.autotrader.co.uk/dealers/haringey/tottenham/bam-autos-849590,(020) 8128 9384,
LF Cars Limited,91,4.8,"105 WEST HENDON BROADWAY, The Hyde, Borough Of Barnet NW9 7BN",56,https://www.autotrader.co.uk/dealers/borough-of-barnet/the-hyde/lf-cars-limited-10007044,(020) 82024477,
GCS Car Sales Ltd,127,4.7,"600 - 610 Western Avenue, Acton, Borough Of Ealing W3 0TE",92,https://www.autotrader.co.uk/dealers/borough-of-ealing/acton/gcs-car-sales-ltd-656373,(020) 87521509,
Lombarda Cars Limited,19,4.4,"841B CORONATION ROAD, Willesden, Brent NW10 7QJ",45,https://www.autotrader.co.uk/dealers/brent/willesden/lombarda-cars-limited-10008915,(020) 89616118,(07511) 170007
N Middletons London,9,5.0,"212 UPTON LANE, Forest Gate, Newham E7 9NP",10,https://www.autotrader.co.uk/dealers/newham/forest-gate/n-middletons-london-10010258,(07947) 123786,
Vibe Motors Ltd,38,4.8,"307 ELVEDEN ROAD, Willesden, Brent NW10 7ST",50,https://www.autotrader.co.uk/dealers/brent/willesden/vibe-motors-ltd-10003309,(020) 89616251,(07920) 327754
Sanchez Cars,3,5.0,"MELFORT ROAD, Thornton Heath, Borough Of Croydon CR7 7RU",21,https://www.autotrader.co.uk/dealers/borough-of-croydon/thornton-heath/sanchez-cars-10008582,(07857) 400410,
Khan Autos,18,4.9,"12 WAGHORN ROAD, Plaistow, Newham E13 9JQ",14,https://www.autotrader.co.uk/dealers/newham/plaistow/khan-autos-10007452,(020) 8033 7498,(07441) 913715
Spring Cars Ltd,6,4.3,"Unit 6 255 WATER ROAD, Wembley, Brent HA0 1JW",31,https://www.autotrader.co.uk/dealers/brent/wembley/spring-cars-ltd-10015580,(07853) 861884,
London Carz,213,4.9,"1146-1152 LONDON ROAD, Streatham, Lambeth SW16 4DS",35,https://www.autotrader.co.uk/dealers/lambeth/streatham/london-carz-10000816,(020) 86797910,(07917) 111194
QJ Car Sales,18,5.0,"MELFORT ROAD, Thornton Heath, Borough Of Croydon CR7 7RR",10,https://www.autotrader.co.uk/dealers/borough-of-croydon/thornton-heath/qj-car-sales-10011865,(020) 8033 9255,(07441) 907920
Asean Corporation,10,5.0,"267 Water Road, Wembley, Brent HA0 1HX",22,https://www.autotrader.co.uk/dealers/brent/wembley/asean-corporation-737158,(020) 8022 5409,(07441) 909920
Driveaway Deals Ltd,8,5.0,"74 - 76 BOUNDS GREEN ROAD, New Southgate, Borough Of Barnet N11 2EU",25,https://www.autotrader.co.uk/dealers/borough-of-barnet/new-southgate/driveaway-deals-ltd-526439,(020) 8022 7567,(07441) 907332
MR Albert,3,4.7,"Norbury Crescent, Streatham, Lambeth SW16 4JX",6,https://www.autotrader.co.uk/dealers/lambeth/streatham/mr-albert-490458,(07944) 669654,
Stephen James Premium,14,5.0,"323-341 LEE HIGH ROAD, Lee, Borough Of Lewisham SE12 8RU",34,https://www.autotrader.co.uk/dealers/borough-of-lewisham/lee/stephen-james-premium-10013861,(020) 8115 1830,
L D S M Ltd,15,4.3,"431 Southend Lane, Sydenham, Borough Of Lewisham SE26 5BH",33,https://www.autotrader.co.uk/dealers/borough-of-lewisham/sydenham/l-d-s-m-ltd-524782,(020) 8033 3757,(07480) 726553
Wembley Point Cars,42,4.0,"Car Park A, Wembley Point, Point Place, Off Harrow Road, Wembley, Brent HA9 6DE",64,https://www.autotrader.co.uk/dealers/brent/wembley/wembley-point-cars-631166,(020) 8115 8660,(07441) 907612
Leabridge Motors,26,4.4,"ROSEBANK ROAD, Walthamstow, Waltham Forest E17 8NH",53,https://www.autotrader.co.uk/dealers/waltham-forest/walthamstow/leabridge-motors-10016028,(020) 39765959,(07483) 393102
Shazs Car Company,1,5.0,"30 CREDON ROAD, Plaistow, Newham E13 9BJ",11,https://www.autotrader.co.uk/dealers/newham/plaistow/shazs-car-company-10014977,(020) 8115 0613,(07441) 918510
Balaam Car Sales,5,5.0,"44-46 Balaam St, Plaistow, Plaistow, Newham E13 8AQ",22,https://www.autotrader.co.uk/dealers/newham/plaistow/balaam-car-sales-292471,(020) 8022 1781,(07441) 911650
Jaguar West London,541,4.4,"152 Dukes Road, Acton, Borough Of Ealing W3 0SL",39,https://www.autotrader.co.uk/dealers/borough-of-ealing/acton/jaguar-west-london-134635,(020) 8115 3331,
Chiswick Honda,9,4.9,"4 Power Road, Chiswick, Borough Of Hounslow W4 5YT",101,https://www.autotrader.co.uk/dealers/borough-of-hounslow/chiswick/chiswick-honda-12978,(020) 89968194,
Abundance Automotive,11,4.6,"33a UNIMIX HOUSE ABBEY ROAD, Willesden, Brent NW10 7TR",15,https://www.autotrader.co.uk/dealers/brent/willesden/abundance-automotive-10007928,(020) 8033 4124,(07455) 954824
AM Imperial Cars,7,3.9,"30 UNIMIX ROAD, ABBEY ROAD, Willesden, Brent NW10 7TR",6,https://www.autotrader.co.uk/dealers/brent/willesden/am-imperial-cars-10009744,(020) 8033 4003,(07426) 049053
R B Motors,42,5.0,"Rb Motors, 642 - 654 Streatham High Road Norbury, Streatham, Lambeth SW16 3QL",24,https://www.autotrader.co.uk/dealers/lambeth/streatham/r-b-motors-9171,(020) 87640047,
Chiswick Motors,44,4.4,"Building 3 CHISWICK PARK, CHISWICK HIGH ROAD, Chiswick, Borough Of Hounslow W4 5YA",45,https://www.autotrader.co.uk/dealers/borough-of-hounslow/chiswick/chiswick-motors-10015316,(020) 8115 0226,(07441) 908389
Sf Car Sales,1,5.0,"25 -27 Romford Road, Stratford, Newham E15 4LJ",21,https://www.autotrader.co.uk/dealers/newham/stratford/sf-car-sales-651712,(020) 8115 7214,(07441) 918316
Cars Yard LTD,20,4.9,"Boundary Garage, 38 CRAWLEY ROAD, Wood Green, Haringey N22 6AG",41,https://www.autotrader.co.uk/dealers/haringey/wood-green/cars-yard-ltd-10009555,(020) 8115 7204,(07441) 918404
Performance Cars,11,4.1,"Unit C 150 COLES GREEN ROAD, Cricklewood, Borough Of Barnet NW2 7JL",25,https://www.autotrader.co.uk/dealers/borough-of-barnet/cricklewood/performance-cars-10016059,(020) 8033 5096,(07482) 875335
M & J Autos Limited,42,4.4,"150 Coles Green Road, Cricklewood, Borough Of Barnet NW2 7JL",72,https://www.autotrader.co.uk/dealers/borough-of-barnet/cricklewood/m-j-autos-limited-697976,(020) 84388478,(07722) 004437
AutoL,70,4.9,"153 WILLIFIELD WAY, Golders Green, Borough Of Barnet NW11 6XY",10,https://www.autotrader.co.uk/dealers/borough-of-barnet/golders-green/autol-10000794,(020) 35240115,(07341) 811020
MB Brent Park Ltd,283,4.8,"Unit 1 CENTRAL BUSINESS CENTRE, IRON BRIDGE CLOSE, Willesden, Brent NW10 0UR",79,https://www.autotrader.co.uk/dealers/brent/willesden/mb-brent-park-ltd-582592,(020) 84515444,
Lidingo Cars Ltd,49,4.8,"53-55 WATERLOO ROAD, Cricklewood, Borough Of Barnet NW2 7TS",30,https://www.autotrader.co.uk/dealers/borough-of-barnet/cricklewood/lidingo-cars-ltd-10002208,(07441) 954045,(020) 8115 3064
Rushmores,37,5.0,"2-10 Rushey Green, Catford, Borough Of Lewisham SE6 4JF",34,https://www.autotrader.co.uk/dealers/borough-of-lewisham/catford/rushmores-877,(020) 8128 1124,
MB Lord,14,4.5,"47-49 PARK ROYAL ROAD, Willesden, Brent NW10 7JA",22,https://www.autotrader.co.uk/dealers/brent/willesden/mb-lord-10007960,(020) 86112936,
NW10 Cars LTD,4,3.0,"21 BARRETTS GREEN ROAD, Willesden, Brent NW10 7AE",26,https://www.autotrader.co.uk/dealers/brent/willesden/nw10-cars-ltd-10010153,(07400) 395097,(020) 84531986
Four Fab Wheels,2,5.0,"CRAVEN PARK MEWS, CRAVEN PARK, Willesden, Brent NW10 8SQ",2,https://www.autotrader.co.uk/dealers/brent/willesden/four-fab-wheels-730621,(07956) 964497,(07944) 339537
Infinity UK Cars Ltd,9,4.4,"137 ACTON LANE, Willesden, Brent NW10 7AD",23,https://www.autotrader.co.uk/dealers/brent/willesden/infinity-uk-cars-ltd-10015461,(020) 83114115,(07733) 771776
First Choice Auto Ltd,3,5.0,"23 MINERVA ROAD, Willesden, Brent NW10 6HJ",35,https://www.autotrader.co.uk/dealers/brent/willesden/first-choice-auto-ltd-10013659,(020) 8033 5381,(07482) 880772
SSS Car Sales,58,4.9,"88 Nimrod Road, Streatham, Lambeth SW16 6TG",25,https://www.autotrader.co.uk/dealers/lambeth/streatham/sss-car-sales-489349,(020) 8022 1325,(07441) 912073
Westdrive Motors Ltd,11,5.0,"67 WESTCOTE ROAD, STREATHAM, Streatham, Lambeth SW16 6BN",37,https://www.autotrader.co.uk/dealers/lambeth/streatham/westdrive-motors-ltd-10016833,(020) 8033 3389,(07426) 055657
C & R Sales,17,4.9,"82-90 MAIDSTONE ROAD, BOROUGH GREEN, Sevenoaks, Kent TN15 8HG",10,https://www.autotrader.co.uk/dealers/kent/sevenoaks/c-r-sales-174995,(01732) 658671,(07441) 909850
Leonard Daborn Limited,126,4.9,"Station Road, Chobham, Woking, Surrey GU24 8AL",23,https://www.autotrader.co.uk/dealers/surrey/woking/leonard-daborn-limited-15731,(01276) 858340,(01276) 857152
Thames Motor Group Fiat Slough,1,5.0,"470 Bath Road, Slough, Berkshire SL1 6BB",115,https://www.autotrader.co.uk/dealers/berkshire/slough/thames-motor-group-fiat-slough-21780,(01753) 903770,
Evans Halshaw Vauxhall Hemel Hempstead,5,1.4,"Two Waters Road, Hemel Hempstead, Hertfordshire HP3 9BS",166,https://www.autotrader.co.uk/dealers/hertfordshire/hemel-hempstead/evans-halshaw-vauxhall-hemel-hempstead-30200,(01442) 229837,
Warren Vehicle Sales,93,5.0,"UNIT 3, 113-115 CODICOTE ROAD, Welwyn, Hertfordshire AL6 9TY",14,https://www.autotrader.co.uk/dealers/hertfordshire/welwyn/warren-vehicle-sales-10001462,(01438) 412927,(07441) 953478
Capital Cars,65,4.9,"397 BATH ROAD, Slough, Berkshire SL1 5QA",18,https://www.autotrader.co.uk/dealers/berkshire/slough/capital-cars-10014527,(01628) 246842,(07441) 918466
Lancaster Jaguar Slough,128,4.6,"816 LEIGH ROAD, Slough, Berkshire SL1 4BD",10,https://www.autotrader.co.uk/dealers/berkshire/slough/lancaster-jaguar-slough-696523,(01753) 903547,
Hamlet Cars,11,5.0,"18a BURROWFIELD, Welwyn Garden City, Hertfordshire AL7 4SR",54,https://www.autotrader.co.uk/dealers/hertfordshire/welwyn-garden-city/hamlet-cars-8689,(01707) 590761,(07441) 916426
The Essex Car Group LTD,13,4.9,"ASHWELLS COURT, ASHWELLS ROAD, Brentwood, Essex CM15 9SE",41,https://www.autotrader.co.uk/dealers/essex/brentwood/the-essex-car-group-ltd-2751947,(01277) 374679,(07562) 464585
SKM Cars,3,4.7,"UNIT 3 ROWSE CLOSE, Stratford, Newham E15 2HX",1,https://www.autotrader.co.uk/dealers/newham/stratford/skm-cars-10010021,(07958) 213009,
Ebbsfleet Specialist Cars Ltd,8,5.0,"UNIT A7 NORTHFLEET INDUSTRIAL ESTATE, LOWER ROAD, NORTHFLEET, Gravesend, Kent DA11 9SN",51,https://www.autotrader.co.uk/dealers/kent/gravesend/ebbsfleet-specialist-cars-ltd-587022,(01322) 382756,(01322) 382756
Mb Autos,2,3.0,"23-23a High Street, Hornsey, Hornsey, Haringey N8 7QB",22,https://www.autotrader.co.uk/dealers/haringey/hornsey/mb-autos-382,(020) 83410853,
Sm Car Sales,10,5.0,"71 Clapton Common, Clapton, Borough Of Hackney E5 9AA",21,https://www.autotrader.co.uk/dealers/borough-of-hackney/clapton/sm-car-sales-474445,(020) 8022 1673,(07441) 911690
Rykar Ltd,15,4.7,"Unit 7-8 Ravensdale Industrial Estate Timberwharf Road, Stoke Newington, Borough Of Hackney N16 6DB",48,https://www.autotrader.co.uk/dealers/borough-of-hackney/stoke-newington/rykar-ltd-81974,(020) 88026959,(07970) 843788
Deals On Wheels (LDN) Ltd,43,4.3,"205 HIGH STREET, Willesden, Brent NW10 4TE",49,https://www.autotrader.co.uk/dealers/brent/willesden/deals-on-wheels-ldn-ltd-10004317,(020) 89618055,
Brockwell Cars Ltd,67,5.0,"MARIE HOUSE, 5 BAKER STREET, Weybridge, Surrey KT13 8AE",21,https://www.autotrader.co.uk/dealers/surrey/weybridge/brockwell-cars-ltd-10006649,(07793) 364131,(07711) 140214
B&H Cars Ltd,2,5.0,"46 OLDHILL STREET, Stoke Newington, Borough Of Hackney N16 6NA",2,https://www.autotrader.co.uk/dealers/borough-of-hackney/stoke-newington/bh-cars-ltd-10002362,(020) 88651929,(07887) 556454
The Hertford Car Company,40,4.9,"Ashendene Farm, Whitestubbs Lane, Hertford, Hertfordshire SG13 8QA",108,https://www.autotrader.co.uk/dealers/hertfordshire/hertford/the-hertford-car-company-547561,(01992) 511311,(01992) 511295
Buy4lessUK Motor Company,56,4.8,"288A KINGSTON ROAD, Leatherhead, Surrey KT22 7QD",27,https://www.autotrader.co.uk/dealers/surrey/leatherhead/buy4lessuk-motor-company-10006733,(07597) 322308,
Hcs Trading Ltd,24,4.5,"Unit 7 Ivorys Industrial Estate, Harper Lane, Radlett, Hertfordshire WD7 7HU",36,https://www.autotrader.co.uk/dealers/hertfordshire/radlett/hcs-trading-ltd-573980,(01923) 588909,(07441) 954510
Portland Motors London Ltd,1,5.0,"23-25 Silchester Road, North Kensington, Kensington And Chelsea W10 6SE",8,https://www.autotrader.co.uk/dealers/kensington-and-chelsea/north-kensington/portland-motors-london-ltd-755805,(020) 8022 6342,(07441) 907592
Radford Sports Cars,10,3.8,"44 MARINA POINT, LENSBURY AVENUE, Fulham, Hammersmith And Fulham SW6 2GX",8,https://www.autotrader.co.uk/dealers/hammersmith-and-fulham/fulham/radford-sports-cars-706803,(07815) 525307,(020) 39694744
HS Motors,2,4.5,"Kilburn, Brent",3,https://www.autotrader.co.uk/dealers/brent/kilburn/hs-motors-10017204,(07466) 981899,(07466) 981899
Wisely Automotive,56,5.0,"48 RAYMOUTH ROAD, Rotherhithe, Southwark SE16 2DB",10,https://www.autotrader.co.uk/dealers/southwark/rotherhithe/wisely-automotive-10010284,(020) 80507653,
Pro-direct Motors,4,4.5,"Ashford Industrial Estate, Shield Road, Middlesex, Ashford, Surrey TW15 1AU",17,https://www.autotrader.co.uk/dealers/surrey/ashford/pro-direct-motors-10005794,(020) 8115 4984,
Sytner Chigwell MINI,4,3.8,"Langston Road, Loughton, Essex IG10 3UE",2,https://www.autotrader.co.uk/dealers/essex/loughton/sytner-chigwell-mini-4976,(020) 87122960,
Car Store Borehamwood,1,1.0,"MANOR WAY, Borehamwood, Hertfordshire WD6 1QB",160,https://www.autotrader.co.uk/dealers/hertfordshire/borehamwood/car-store-borehamwood-10006812,(020) 8115 0340,
Cars Of London,88,5.0,"Churchill House, 120 Bunns Lane, Mill Hill, Borough Of Barnet NW7 2AS",21,https://www.autotrader.co.uk/dealers/borough-of-barnet/mill-hill/cars-of-london-108446,(020) 31142119,(07951) 024868
5th Gear Motor Company Ltd,35,5.0,"434 BROMLEY ROAD, Bromley, Borough Of Bromley BR1 4PP",29,https://www.autotrader.co.uk/dealers/borough-of-bromley/bromley/5th-gear-motor-company-ltd-10015360,(020) 8115 0250,(07441) 916063
Quality Part X Ltd Edmonton,334,4.7,"173-175 WILLOUGHBY LANE, Tottenham, Haringey N17 0RU",398,https://www.autotrader.co.uk/dealers/haringey/tottenham/quality-part-x-ltd-edmonton-10011532,(020) 39033064,
Wembley Prestige Cars Ltd,11,3.9,"1 Watkin Road, Wembley, Brent HA9 0NL",197,https://www.autotrader.co.uk/dealers/brent/wembley/wembley-prestige-cars-ltd-212156,(020) 87954888,
Automotive Direct Ltd,68,4.9,"377 NORTH CIRCULAR ROAD, Palmers Green, Borough Of Enfield N13 5UU",46,https://www.autotrader.co.uk/dealers/borough-of-enfield/palmers-green/automotive-direct-ltd-10009504,(020) 8115 7764,(07441) 923266
Rikon London Ltd,41,4.6,"Rikon London, Q-PARK PARK LANE, Mayfair, Borough Of Westminster W1K 7AN",35,https://www.autotrader.co.uk/dealers/borough-of-westminster/mayfair/rikon-london-ltd-744672,(020) 39357000,(07428) 888777
AT Performance Cars,23,5.0,"Unit 9 UPPER BARN FARM, BICESTER ROAD, WESTCOTT, Aylesbury, Buckinghamshire HP18 0JX",11,https://www.autotrader.co.uk/dealers/buckinghamshire/aylesbury/at-performance-cars-10008554,(01296) 651165,(07508) 382130
Redline Specialist Cars,222,4.9,"Grimbald Crag Road, St James Business Park, Knaresborough, North Yorkshire HG5 8PY",186,https://www.autotrader.co.uk/dealers/north-yorkshire/knaresborough/redline-specialist-cars-1307,(01423) 607919,
London Broadway Car Sales Ltd,10,4.6,"205 WEST HENDON BROADWAY, The Hyde, Borough Of Barnet NW9 7DE",33,https://www.autotrader.co.uk/dealers/borough-of-barnet/the-hyde/london-broadway-car-sales-ltd-10007870,(020) 31316463,(07859) 197429
IP Motors Ltd,16,4.5,"ACE CORNER NORTH CIRCULAR ROAD, Willesden, Brent NW10 7UD",51,https://www.autotrader.co.uk/dealers/brent/willesden/ip-motors-ltd-743462,(07473) 748222,(020) 89655339
TR Motors,1,5.0,"SUITE 42 UNIMIX HOUSE ABBEY ROAD, Willesden, Brent NW10 7TR",21,https://www.autotrader.co.uk/dealers/brent/willesden/tr-motors-10010462,(020) 8115 0038,
Sara Global Limited,65,4.9,"53-55 WATERLOO ROAD, Cricklewood, Borough Of Barnet NW2 7TS",35,https://www.autotrader.co.uk/dealers/borough-of-barnet/cricklewood/sara-global-limited-10012809,(07441) 954324,(020) 8115 2883
Hyfield Cars,1,5.0,"677 GREEN LANES, Hornsey, Haringey N8 0QY",16,https://www.autotrader.co.uk/dealers/haringey/hornsey/hyfield-cars-10006953,(07484) 510777,
Royal Motor,10,4.5,"249 ACTON LANE, Willesden, Brent NW10 7NR",36,https://www.autotrader.co.uk/dealers/brent/willesden/royal-motor-10011969,(020) 8115 4910,(07441) 949883
Cargiant,588,4.6,"44 Hythe Road, Willenden, Willesden, Brent NW10 6RJ",2303,https://www.autotrader.co.uk/dealers/brent/willesden/cargiant-13713,(020) 8022 3217,
London Cars & Vans,30,4.5,"129A LAVENDER HILL, Battersea, Borough Of Wandsworth SW11 5QJ",29,https://www.autotrader.co.uk/dealers/borough-of-wandsworth/battersea/london-cars-vans-10013711,(020) 8115 2393,(07441) 916920
Hamiltons,9,5.0,"151 Palace Road, Tulse Hill, Brixton, Lambeth SW2 3LE",31,https://www.autotrader.co.uk/dealers/lambeth/brixton/hamiltons-7109,(020) 86717941,
Harringtons Of Fulham Ltd,1,4.0,"120 New Kings Road, Fulham, Hammersmith And Fulham SW6 4LZ",18,https://www.autotrader.co.uk/dealers/hammersmith-and-fulham/fulham/harringtons-of-fulham-ltd-7402,(020) 77366100,
Marylebone Car Centre,41,5.0,"62A BALCOMBE STREET, Camden Town, Camden NW1 6NE",7,https://www.autotrader.co.uk/dealers/camden/camden-town/marylebone-car-centre-20760,(020) 77247575,(07973) 137570
West Essex Trade Sales,6,5.0,"UNIT 18, GALLEY HILL, Waltham Abbey, Essex EN9 2AG",11,https://www.autotrader.co.uk/dealers/essex/waltham-abbey/west-essex-trade-sales-900569,(01992) 843997,(07441) 912419
Sutsi Cars,10,4.8,"26 CASTLEMAIN STREET, Stepney, Tower Hamlets E1 5DA",6,https://www.autotrader.co.uk/dealers/tower-hamlets/stepney/sutsi-cars-10012148,(020) 8115 1853,(07441) 909933
Precision Motor Group,34,5.0,"SEDGE GREEN, NAZEING, Waltham Abbey, Essex EN9 2PA",53,https://www.autotrader.co.uk/dealers/essex/waltham-abbey/precision-motor-group-10012917,(01992) 679065,(07738) 205054
Centurion UK Ltd,2,5.0,"21 HIGH STREET, Hoddesdon, Hertfordshire EN11 8SX",59,https://www.autotrader.co.uk/dealers/hertfordshire/hoddesdon/centurion-uk-ltd-281201,(01992) 843810,
KCS OF SURREY,89,4.8,"29-33 Brighton Road, Addlestone, Surrey KT15 1PG",104,https://www.autotrader.co.uk/dealers/surrey/addlestone/kcs-of-surrey-1722,(01932) 844000,
Woodstock Motors,9,4.9,"143 NORTH END ROAD, Golders Green, Borough Of Barnet NW11 7HT",11,https://www.autotrader.co.uk/dealers/borough-of-barnet/golders-green/woodstock-motors-10006200,(020) 82018030,(07836) 272259
ProAutos,1,5.0,"91 Radnor Road, Twickenham, Borough Of Richmond TW1 4NB",3,https://www.autotrader.co.uk/dealers/borough-of-richmond/twickenham/proautos-496475,(07901) 555005,(020) 89367630
Veloces Of London,172,4.9,"Warwick Yard, 183, Barnet, Borough Of Barnet EN4 9PA",51,https://www.autotrader.co.uk/dealers/borough-of-barnet/barnet/veloces-of-london-8323,(020) 82750630,
Motor 4 U Limited,10,3.8,"318-320 Stafford Road, Croydon, Borough Of Croydon CR0 4NH",100,https://www.autotrader.co.uk/dealers/borough-of-croydon/croydon/motor-4-u-limited-504849,(020) 86815681,(020) 86588978
Lycon Motors,34,4.8,"823 WESTERN ROAD, Willesden, Brent NW10 7LT",10,https://www.autotrader.co.uk/dealers/brent/willesden/lycon-motors-10000632,(020) 8033 7723,(07441) 927263
The London Car Company,1,5.0,"MILLMARSH LANE, Enfield, Borough Of Enfield EN3 7QA",4,https://www.autotrader.co.uk/dealers/borough-of-enfield/enfield/the-london-car-company-10017505,(020) 8033 3950,(07480) 728895
Tz Awesome Cars,16,5.0,"1a The Boulevard, Balham High Rd, Tooting, Borough Of Wandsworth SW17 7BW",7,https://www.autotrader.co.uk/dealers/borough-of-wandsworth/tooting/tz-awesome-cars-283014,(07713) 479132,(07947) 574572
Dyson Cars Ltd,32,5.0,"Greenview, Holyfield, Waltham Abbey, Essex EN9 2EW",21,https://www.autotrader.co.uk/dealers/essex/waltham-abbey/dyson-cars-ltd-10004200,(01992) 843943,(07441) 954911
B S Marson And Sons Ltd,0,,"Deansgate Garages, Keele Road, Newcastle-Under-Lyme, Shropshire ST5 2HN",97,https://www.autotrader.co.uk/dealers/shropshire/newcastle-under-lyme/b-s-marson-and-sons-ltd-364214,(01782) 933717,
R D MOTORS LTD,6,3.7,"Upper Rainham Road, Hornchurch,, Hornchurch, Havering RM12 4EU",71,https://www.autotrader.co.uk/dealers/havering/hornchurch/r-d-motors-ltd-650245,(01708) 573684,(07441) 906587
Sb Motion,36,5.0,"Coulsdon, Borough Of Croydon",21,https://www.autotrader.co.uk/dealers/borough-of-croydon/coulsdon/sb-motion-411410,(01737) 483804,
Car Village Ltd,9,4.3,"232 RUSH GREEN ROAD, Romford, Havering RM7 0LA",25,https://www.autotrader.co.uk/dealers/havering/romford/car-village-ltd-10005083,(020) 81503357,(07710) 562831
Essex Trade Sales Ltd,13,4.4,"GOBIONS FARM COLLIER ROW ROAD, Romford, Havering RM5 2BH",56,https://www.autotrader.co.uk/dealers/havering/romford/essex-trade-sales-ltd-549362,(07426) 456499,(07715) 995194
