Make,Model,Year,Count
Abarth,500,2017,9
Abarth,500,2018,12
BMW,X2,2018,90
BMW,X2,2019,13
BMW,6 Series,2018,35
BMW,6 Series,2017,13
BMW,7 Series,2018,39
BMW,7 Series,2019,7
BMW,6 Series,2016,66
BMW,6 Series,2017,13
BMW,Z3,2002,7
BMW,Z3,2003,1
BMW,i3,2017,24
BMW,i3,2018,47
BMW,Z3,2001,16
BMW,Z3,2002,7
BMW,Z3,2000,21
BMW,Z3,1999,23
BMW,Z3,1999,23
BMW,Z3,1998,20
BMW,3 Series,2018,739
BMW,3 Series,2019,28
BMW,Z3,2000,21
BMW,Z3,2001,16
BMW,Z3,1998,20
BMW,Z3,1997,9
BMW,2 Series,2018,332
BMW,2 Series,2019,33
BMW,5 Series,2018,338
BMW,5 Series,2019,28
BMW,7 Series,2017,19
BMW,7 Series,2018,39
BMW,7 Series,2017,19
BMW,7 Series,2016,32
BMW,7 Series,2014,29
BMW,7 Series,2015,22
BMW,7 Series,2013,22
BMW,7 Series,2014,29
BMW,7 Series,2016,32
BMW,7 Series,2015,22
BMW,7 Series,2013,22
BMW,7 Series,2012,33
BMW,7 Series,2011,31
BMW,7 Series,2012,33
BMW,7 Series,2010,21
BMW,7 Series,2009,10
BMW,7 Series,2009,10
BMW,7 Series,2008,11
BMW,7 Series,2011,31
BMW,7 Series,2010,21
BMW,7 Series,2007,14
BMW,7 Series,2008,11
BMW,2 Series,2016,333
BMW,2 Series,2017,159
BMW,7 Series,2007,14
BMW,7 Series,2006,15
BMW,7 Series,2005,11
BMW,7 Series,2004,9
BMW,7 Series,2006,15
BMW,7 Series,2005,11
BMW,7 Series,2004,9
BMW,7 Series,2003,5
BMW,7 Series,2002,4
BMW,7 Series,2003,5
BMW,7 Series,2001,2
BMW,7 Series,2002,4
BMW,7 Series,2001,2
BMW,7 Series,2000,1
BMW,7 Series,1999,5
BMW,7 Series,2000,1
BMW,7 Series,1998,2
BMW,7 Series,1997,1
BMW,7 Series,1998,2
BMW,7 Series,1999,5
BMW,7 Series,1996,1
BMW,7 Series,1997,1
BMW,2 Series,2017,159
BMW,2 Series,2018,332
BMW,7 Series,1996,1
BMW,7 Series,1995,1
BMW,6 Series,2012,36
BMW,6 Series,2011,21
BMW,6 Series,2015,60
BMW,6 Series,2016,66
BMW,6 Series,2014,63
BMW,6 Series,2015,60
BMW,2 Series,2015,395
BMW,2 Series,2016,333
BMW,6 Series,2009,15
BMW,6 Series,2008,22
BMW,6 Series,2013,57
BMW,6 Series,2012,36
BMW,6 Series,2008,22
BMW,6 Series,2007,38
BMW,6 Series,2003,1
BMW,6 Series,1989,2
BMW,6 Series,2014,63
BMW,6 Series,2013,57
BMW,6 Series,1989,2
BMW,6 Series,1986,2
BMW,6 Series,2006,31
BMW,6 Series,2005,30
BMW,6 Series,2005,30
BMW,6 Series,2004,13
BMW,6 Series,2007,38
BMW,6 Series,2006,31
BMW,6 Series,1985,1
BMW,6 Series,1986,2
BMW,6 Series,2009,15
BMW,6 Series,2010,24
BMW,6 Series,2011,21
BMW,6 Series,2010,24
BMW,2 Series,2015,395
BMW,2 Series,2014,99
BMW,6 Series,2004,13
BMW,6 Series,2003,1
BMW,3 Series,2012,479
BMW,3 Series,2011,405
BMW,3 Series,2007,268
BMW,3 Series,2008,308
BMW,3 Series,1999,13
BMW,3 Series,1998,10
BMW,3 Series,1997,7
BMW,3 Series,1996,4
BMW,3 Series,1995,6
BMW,3 Series,1996,4
BMW,3 Series,1994,4
BMW,3 Series,1995,6
BMW,3 Series,2007,268
BMW,3 Series,2006,174
BMW,3 Series,1994,4
BMW,3 Series,1993,2
BMW,3 Series,1992,4
BMW,3 Series,1993,2
BMW,3 Series,1992,4
BMW,3 Series,1991,2
BMW,3 Series,1991,2
BMW,3 Series,1990,2
BMW,3 Series,2001,23
BMW,3 Series,2000,16
BMW,3 Series,1989,3
BMW,3 Series,1990,2
BMW,3 Series,1989,3
BMW,3 Series,1988,1
BMW,3 Series,1998,10
BMW,3 Series,1997,7
BMW,3 Series,1985,1
BMW,3 Series,1988,1
BMW,3 Series,2004,91
BMW,3 Series,2003,84
BMW,3 Series,1982,1
BMW,3 Series,1985,1
BMW,3 Series,2000,16
BMW,3 Series,1999,13
BMW,3 Series,2003,84
BMW,3 Series,2002,64
BMW,3 Series,2002,64
BMW,3 Series,2001,23
BMW,3 Series,2005,136
BMW,3 Series,2004,91
BMW,3 Series,2006,174
BMW,3 Series,2005,136
BMW,5 Series,2016,294
BMW,5 Series,2017,141
BMW,5 Series,2015,510
BMW,5 Series,2016,294
BMW,5 Series,2008,71
BMW,5 Series,2007,68
BMW,5 Series,2006,69
BMW,5 Series,2007,68
BMW,5 Series,2018,338
BMW,5 Series,2017,141
BMW,5 Series,2008,71
BMW,5 Series,2009,87
BMW,5 Series,2011,172
BMW,5 Series,2010,157
BMW,5 Series,2012,246
BMW,5 Series,2011,172
BMW,5 Series,2010,157
BMW,5 Series,2009,87
BMW,5 Series,2003,18
BMW,5 Series,2002,6
BMW,5 Series,2015,510
BMW,5 Series,2014,393
BMW,5 Series,2002,6
BMW,5 Series,2001,12
BMW,5 Series,2004,25
BMW,5 Series,2003,18
BMW,5 Series,2004,25
BMW,5 Series,2005,47
BMW,5 Series,2006,69
BMW,5 Series,2005,47
BMW,5 Series,2001,12
BMW,5 Series,2000,3
BMW,5 Series,1999,3
BMW,5 Series,2000,3
BMW,5 Series,1998,7
BMW,5 Series,1999,3
BMW,5 Series,1998,7
BMW,5 Series,1997,2
BMW,5 Series,1997,2
BMW,5 Series,1995,1
BMW,5 Series,1987,1
BMW,5 Series,1991,1
BMW,5 Series,1987,1
BMW,5 Series,1986,2
BMW,5 Series,1995,1
BMW,5 Series,1991,1
BMW,5 Series,2012,246
BMW,5 Series,2013,276
BMW,i3,2014,8
BMW,i3,2013,1
BMW,i3,2017,24
BMW,i3,2016,24
BMW,i3,2015,32
BMW,i3,2014,8
BMW,i3,2015,32
BMW,i3,2016,24
Abarth,500,2016,73
Abarth,500,2017,9
BMW,i8,2018,22
BMW,i8,2017,7
BMW,8 Series,1999,2
BMW,8 Series,2018,1
BMW,8 Series,1998,2
BMW,8 Series,1999,2
BMW,i8,2016,12
BMW,i8,2017,7
BMW,5 Series,2013,276
BMW,5 Series,2014,393
BMW,i8,2016,12
BMW,i8,2015,18
BMW,X6,2018,36
BMW,X6,2019,4
BMW,X4,2018,67
BMW,X4,2019,4
Abarth,500,2016,73
Abarth,500,2015,92
BMW,X5,2018,101
BMW,X5,2019,2
BMW,X5,2017,96
BMW,X5,2016,86
BMW,X5,2018,101
BMW,X5,2017,96
BMW,X5,2015,121
BMW,X5,2016,86
BMW,X5,2008,60
BMW,X5,2007,84
BMW,X5,2012,88
BMW,X5,2013,81
BMW,X5,2013,81
BMW,X5,2014,96
BMW,X5,2006,46
BMW,X5,2005,41
BMW,X5,2009,97
BMW,X5,2010,70
BMW,X5,2011,107
BMW,X5,2010,70
BMW,X5,2012,88
BMW,X5,2011,107
BMW,X5,2008,60
BMW,X5,2009,97
BMW,X5,2015,121
BMW,X5,2014,96
BMW,X5,2004,31
BMW,X5,2005,41
BMW,X5,2004,31
BMW,X5,2003,15
BMW,X5,2002,16
BMW,X5,2003,15
BMW,X5,2002,16
BMW,X5,2001,6
BMW,X4,2016,32
BMW,X4,2017,11
BMW,X5,2007,84
BMW,X5,2006,46
BMW,X4,2018,67
BMW,X4,2017,11
BMW,X4,2015,44
BMW,X4,2014,11
BMW,X6,2016,43
BMW,X6,2017,49
BMW,X4,2015,44
BMW,X4,2016,32
BMW,X6,2013,40
BMW,X6,2014,27
BMW,X6,2017,49
BMW,X6,2018,36
BMW,X6,2015,25
BMW,X6,2016,43
BMW,X6,2014,27
BMW,X6,2015,25
BMW,X6,2011,21
BMW,X6,2012,30
BMW,X6,2009,21
BMW,X6,2008,14
BMW,X6,2010,26
BMW,X6,2011,21
BMW,X6,2013,40
BMW,X6,2012,30
BMW,X6,2010,26
BMW,X6,2009,21
BMW,Z4,2015,25
BMW,Z4,2016,11
BMW,Z4,2014,39
BMW,Z4,2015,25
BMW,Z4,2010,25
BMW,Z4,2009,25
BMW,Z4,2014,39
BMW,Z4,2013,26
BMW,Z4,2012,52
BMW,Z4,2013,26
BMW,8 Series,1998,2
BMW,8 Series,1997,1
BMW,Z4,2009,25
BMW,Z4,2008,25
BMW,Z4,2004,29
BMW,Z4,2005,25
BMW,8 Series,1994,2
BMW,8 Series,1995,1
BMW,8 Series,1997,1
BMW,8 Series,1995,1
BMW,Z4,2011,46
BMW,Z4,2012,52
BMW,Z4,2011,46
BMW,Z4,2010,25
BMW,Z4,2004,29
BMW,Z4,2003,18
BMW,Z4,2007,43
BMW,Z4,2008,25
BMW,Z4,2006,47
BMW,Z4,2005,25
BMW,i8,2015,18
BMW,i8,2014,7
BMW,Z4,2007,43
BMW,Z4,2006,47
AC,Cobra,2002,1
AC,Cobra,2000,1
Abarth,595C,2017,7
Abarth,595C,2018,4
Abarth,500C,2018,5
Abarth,500C,2019,4
Abarth,500C,2017,1
Abarth,500C,2018,5
BMW,X3,2019,30
BMW,X3,2018,144
Abarth,500C,2016,8
Abarth,500C,2017,1
Abarth,595C,2017,7
Abarth,595C,2016,3
Abarth,500C,2015,13
Abarth,500C,2016,8
BMW,X3,2016,86
BMW,X3,2017,28
BMW,X3,2018,144
BMW,X3,2017,28
BMW,1 Series,2013,538
BMW,1 Series,2012,465
BMW,1 Series,2009,263
BMW,1 Series,2010,316
BMW,1 Series,2011,341
BMW,1 Series,2010,316
BMW,X3,2015,141
BMW,X3,2016,86
BMW,1 Series,2006,47
BMW,1 Series,2005,43
BMW,1 Series,2006,47
BMW,1 Series,2007,79
BMW,X3,2013,96
BMW,X3,2012,100
BMW,X3,2008,22
BMW,X3,2009,16
BMW,X3,2015,141
BMW,X3,2014,83
BMW,X3,2012,100
BMW,X3,2011,69
BMW,X3,2009,16
BMW,X3,2010,13
BMW,X3,2007,56
BMW,X3,2008,22
BMW,X3,2013,96
BMW,X3,2014,83
BMW,X3,2007,56
BMW,X3,2006,40
BMW,X3,2011,69
BMW,X3,2010,13
BMW,1 Series,2005,43
BMW,1 Series,2004,12
BMW,X3,2005,37
BMW,X3,2006,40
BMW,X3,2005,37
BMW,X3,2004,30
Abarth,124,2018,51
Abarth,124,2019,8
Abarth,124,2017,17
Abarth,124,2016,3
Abarth,595,2018,51
Abarth,595,2019,14
Abarth,595,2016,36
Abarth,595,2017,44
BMW,1 Series,2008,210
BMW,1 Series,2007,79
Abarth,124,2018,51
Abarth,124,2017,17
Abarth,595,2017,44
Abarth,595,2018,51
BMW,1 Series,2009,263
BMW,1 Series,2008,210
BMW,X1,2018,135
BMW,X1,2019,24
BMW,3 Series,2010,338
BMW,3 Series,2009,360
BMW,X1,2017,79
BMW,X1,2018,135
BMW,X1,2017,79
BMW,X1,2016,108
BMW,X1,2011,117
BMW,X1,2010,74
BMW,X1,2010,74
BMW,X1,2009,6
BMW,X1,2011,117
BMW,X1,2012,154
BMW,X1,2015,91
BMW,X1,2014,198
BMW,X1,2015,91
BMW,X1,2016,108
BMW,4 Series,2018,383
BMW,4 Series,2019,18
BMW,X1,2013,164
BMW,X1,2014,198
BMW,4 Series,2018,383
BMW,4 Series,2017,186
BMW,4 Series,2014,312
BMW,4 Series,2013,33
BMW,4 Series,2016,457
BMW,4 Series,2017,186
BMW,X1,2013,164
BMW,X1,2012,154
BMW,1 Series,2015,1009
BMW,1 Series,2014,625
BMW,1 Series,2016,680
BMW,1 Series,2015,1030
BMW,3 Series,2014,808
BMW,3 Series,2015,1044
BMW,1 Series,2016,640
BMW,1 Series,2017,362
